127.0.0.1 - - [07/Dec/2024:17:11:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:00 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8856
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:00 +0900] "GET /jspStudy/board/board.css HTTP/1.1" 200 3787
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:00 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:00 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:00 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:00 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:00 +0900] "GET /jspStudy/board/board.js HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:06 +0900] "GET /jspStudy/board/boardViewTime?viewTime=20 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:12 +0900] "GET /jspStudy/board/boardViewTime?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:35 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=10 HTTP/1.1" 200 8856
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:35 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:35 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:35 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:35 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:41 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 12857
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:41 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:41 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:41 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:41 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:12:53 +0900] "GET /jspStudy/board/boardViewTime?viewTime=20 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:03 +0900] "GET /jspStudy/board/boardViewTime?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:18 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8856
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:18 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:18 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:18 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:18 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:23 +0900] "GET /jspStudy/board/boardViewTime?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:54 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=10 HTTP/1.1" 200 8856
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:54 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:54 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:54 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:14:54 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:15:28 +0900] "GET /jspStudy/board/boardViewTime?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:15:36 +0900] "GET /jspStudy/board/boardViewTime?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:15:57 +0900] "GET /jspStudy/board/boardViewTime?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:02 +0900] "GET /jspStudy/board/boardViewTime?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8859
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8859
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:16:15 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
